Trial ID,Concept (Precise Term),Constraint / Qualifier,Cancer Type,Category,Inclusion/Exclusion,FHIR Resource,Code (LOINC/SNOMED/ICD),Example EMR Text
NCT02775435,NSCLC (squamous),Stage IV (M1a/M1b); histologically/cytologically confirmed,Lung Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254637007 (NSCLC); ICD-10: C34.x,Stage IV squamous NSCLC confirmed by histology
NCT02775435,RECIST 1.1,Measurable disease (local investigator/radiology),Lung Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),CT scan measurable lesions per RECIST 1.1
NCT02775435,No prior systemic therapy,No systemic treatment for metastatic NSCLC,Lung Cancer,Treatment History,Inclusion,Procedure,SNOMED: 416118004 (History of chemotherapy),No prior systemic therapy for metastatic NSCLC
NCT02775435,Tumor tissue submission,From locations not radiated before biopsy,Lung Cancer,Diagnostic Specimen,Inclusion,Specimen,,Tumor specimen from non-radiated site provided
NCT02775435,Life expectancy,atleast 3 months,Lung Cancer,Clinical,Inclusion,Observation,,Life expectancy at least 3 months
NCT02775435,ECOG,0 or 1,Lung Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG performance status 1
NCT02775435,Adequate organ function,Adequate hematologic/end organ,Lung Cancer,Clinical,Inclusion,Observation,,Lab tests show adequate organ function
NCT02775435,Contraception (female),Contraception through 180 days after last dose,Lung Cancer,Demographic,Inclusion,Observation,LOINC: 19080-1 (Pregnancy test),"Negative pregnancy test, using contraception"
NCT02775435,Contraception (male),Contraception through 95 days; condom if partner pregnant,Lung Cancer,Demographic,Inclusion,Observation,,Male participant using contraception
NCT02775435,NSCLC (non-squamous),Non-squamous histology,Lung Cancer,Diagnosis,Exclusion,Condition,SNOMED: 254632001,Non-squamous histology NSCLC
NCT02775435,Investigational therapy,Participation in study within 4 weeks,Lung Cancer,Treatment History,Exclusion,Procedure,,Participated in investigational therapy within 4 weeks
NCT02775435,Prior systemic therapy,Prior cytotoxic chemo/targeted therapy for metastatic disease,Lung Cancer,Treatment History,Exclusion,Procedure,,Received prior targeted therapy for metastatic NSCLC
NCT02775435,Surgery,Major surgery <3 weeks,Lung Cancer,Treatment History,Exclusion,Procedure,,Surgery 2 weeks before trial start
NCT02775435,Radiation therapy,Lung RT >30 Gy within 6 months; palliative RT <7 days,Lung Cancer,Treatment History,Exclusion,Procedure,,Received lung RT 40 Gy within 6 months
NCT02775435,Other therapy required,Expected need for antineoplastic therapy,Lung Cancer,Treatment History,Exclusion,Procedure,,Requires chemotherapy while on study
NCT02775435,Live vaccine,Within 30 days before treatment,Lung Cancer,Clinical,Exclusion,Observation,,Received live vaccine 2 weeks ago
NCT02775435,Prior malignancy,Curative >5 years disease free allowed,Lung Cancer,Diagnosis,Exclusion,Condition,SNOMED: 443961000124104,History of prostate cancer treated curatively
NCT02775435,CNS metastasis / Carcinomatous meningitis,Known active disease,Lung Cancer,Diagnosis,Exclusion,Condition,SNOMED: 128606002,Active brain metastasis
NCT02775435,Peripheral neuropathy,atleast Grade 2 (CTCAE v4),Lung Cancer,Clinical,Exclusion,Observation,,Peripheral neuropathy Grade 2
NCT02775435,Hypersensitivity (mAbs),Severe reaction to monoclonal antibody,Lung Cancer,Clinical,Exclusion,Observation,,Severe hypersensitivity reaction to prior antibody
NCT02775435,Carboplatin/paclitaxel hypersensitivity,Known sensitivity,Lung Cancer,Clinical,Exclusion,Observation,,Allergic to carboplatin
NCT02775435,Autoimmune disease,Active requiring systemic therapy within 2 years,Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007,Autoimmune hepatitis requiring steroids
NCT02775435,Steroid use,Chronic systemic steroids,Lung Cancer,Treatment History,Exclusion,Medication,,Chronic prednisone use
NCT02775435,Prior checkpoint inhibitor,Prior anti-PD-1/PD-L1/PD-L2 or CTLA-4 agent,Lung Cancer,Treatment History,Exclusion,Medication,RxNorm: 1597876 (Ipilimumab),Prior PD-1 therapy
NCT02775435,Pembrolizumab trial,Previously treated with pembrolizumab,Lung Cancer,Treatment History,Exclusion,Medication,RxNorm: 1560178 (Pembrolizumab),Previously on pembrolizumab trial
NCT02775435,Infection,Active requiring therapy,Lung Cancer,Infectious Disease,Exclusion,Observation,,On antibiotics for infection
NCT02775435,HIV,Known history,Lung Cancer,Infectious Disease,Exclusion,Observation,LOINC: 7917-8,HIV antibody positive
NCT02775435,HBV,Known active,Lung Cancer,Infectious Disease,Exclusion,Observation,LOINC: 5195-3,HBsAg positive
NCT02775435,HCV,Known active,Lung Cancer,Infectious Disease,Exclusion,Observation,LOINC: 13955-0,HCV antibody positive
NCT02775435,Substance abuse,Recreational drug/alcohol use within past year,Lung Cancer,Clinical,Exclusion,Condition,,History of alcohol abuse
NCT02775435,Interstitial lung disease / Pneumonitis,History requiring steroids,Lung Cancer,Diagnosis,Exclusion,Condition,,History of pneumonitis requiring steroids
